person,condition,exchange
Eingyi,"Speaking after Answering ""No""","The nerve of you! Be gone, be gone at once!"
Eingyi,Greetings,You again...
Eingyi,Talk x1 Before being infected with eggs,"...There is nothing to say to you...Except...If you lay a hand on the Fair Lady, you should be prepared to face my wrath."
Eingyi,Talk x2 Before being infected with eggs,"There is no time for idle chat. Think only of Our Fair Lady, and what she may need."
Eingyi,Greetings after understanding the Fair Lady's words,"...You, you speak the tongue of the Fair Lady? ... Well, do not be rash with your pride. You have yet to earn my trust. If you try anything funny with the Fair Lady, there will be hell to pay."
Eingyi,Speaking after being infected with eggs,Well! ...Now...you're just like me... Your dedication is fully apparent. Only well...Your head looks awful...Why not try this? I've no use for it any longer.
Eingyi,Greeting after being infected,"Oh, hello. What is it that you need?"
Eingyi,Talk x3 after being infected,"Incidentally, do you have an interest in pyromancy? If you have, I shall share my flame with you."
Eingyi,"Answering ""Yes""","You have served our Fair Lady well. Now, let this strength be yours."
Eingyi,"Answering ""No""","...Well, fine. I will not force you."
Eingyi,Talk x4 after being infected and understanding the Fair Lady,"In all honesty, I am envious. What comfort can I offer, without speaking her tongue?"
Eingyi,Talk x5 after being infected,"Worse than Undead, we are diseased, and unwanted. Like the grime of the Great Swamp. But my dear, Fair Lady! She cried for me... And swallowed the great Blightpus, despite Mistress Quelaag's orders to the contrary."
Eingyi,Talk x6 after being infected,"Below us lies the ruins of the legendary city of Izalith. There, the Molten Giant watches over the Flame of Chaos. Our Fair Lady, and Mistress Quelaag, fled from the ruins. I do not know the details...And I do not ask..."
Eingyi,Talk x7 after being infected,"Have you heard of Lost Quelana? An inhuman witch, who wanders the Poison Swamp. Only no one has ever seen her, so who really knows? But what if she really is another one of the Quelaag sisters? Our Fair Lady would be greatly comforted by her presence."
Eingyi,Attacking him,I knew it! I knew it! You will not get away with this!
Eingyi,Killing him,Hrg...rgggkt...My dear Fair Lady...You are in danger...
Eingyi,Killing Quelaag's Sister,"Why, youuuuu monster…! The Fair lady! What have you done, what have you done! Hrggreeeeeeeeeeh!"
Elizabeth,Introduction,"Well, look at this one. From what far-away age has thou come? Thy scent is very human, indeed...But, not intolerable...Ah, Princess Dusk's saviour. Thine aura is precisely as she described. I thank thee deeply, for rescuing Her Highness. But Princess Dusk is here no longer...snatched away by that horrifying primeval human. And so I must ask...Couldst thou once more play the saviour?"
Elizabeth,"Answering ""Yes""","Thank you. I am Elizabeth, guardian of this sanctuary. Something of a godmother to Princess Dusk. I shall assist thee, to my utmost. For I am one with the sorceries of Oolacile."
Elizabeth,"Answering ""No""","Yes, I understand. We care dearly for princess Dusk, and are apt to blur our boundaries. I am ashamed to have been so imposing. But should thine heart be changed, speak to me again. This sanctuary, and the sorceries of Oolacile, are my domain. My strength could surely assist thee in thy travels."
Elizabeth,Talk x1,"Thou shalt see further on. An abyss was begat of the ancient beast, and threatens to swallow the whole of Oolacile. Knight Artorias came to stop this, but such a hero has nary a murmur of Dark. Without doubt, he will be swallowed by the Abyss, overcome by its utter blackness...Indeed, the Abyss may be unstoppable...Still I have faith, that Princess Dusk may be rescued yet..."
Elizabeth,Talk x2,"Thou art from a time far, far ahead. There are many things I wish to ask...But I know that I must not. The perils of our time are overwhelming enough."
Elizabeth,Talk x3,"Hah hah...Was thine eye, glancing hither? Thou needst not hide thy wonder. I am a mushroom, after all. Hee hee hee..."
Elizabeth,Talk x4,"Not long ago, I had another visitor. A human like thineself, from a far-away time. Only, he was dreadfully odious...And I am afraid that he is still amongst us. He wore a hat and a long black coat..."
Elizabeth,Greetings,Thank goodness thou art safe. What is thy wish? I offer thee my all.
Elizabeth,Leave,May the flames guide thee.
Elizabeth,After rescuing Dusk,"I have awaited thee. Thou hast rescued Princess Dusk,...and rid us of that terrible primeval human. Even halting the spread of the Abyss! I salute the grandeur of thine enterprise. Please, allow me to express my gratitude. I thank thee... as do we all."
Elizabeth,Talk x5,"I will remember thee, but I will keep thy story to myself. This is the best way, for thou art come from a time far ahead. No-one will sing thy praises, but yet thy greatness shall live on. For it shall be my purpose, to remember all thou hast done for us."
Elizabeth,Slain,"But, why... Why... Dear Dusk..."
Giant Blacksmith,Introduction,Who are you? Forge your weapons?
Giant Blacksmith,Greetings,"Mng. Hello. Forge, I can! Strong, I am!"
Giant Blacksmith,Farewell,Cometh soon.
Giant Blacksmith,Talk x1,"You come, I forge, we talk. You good friend. I very happy."
Giant Blacksmith,Talk x2,"You come, I forge. Shiny-shiny. Get shiny from Duke. Forge weapons, make shiny. More happy."
Giant Blacksmith,Talk x3,"Talk, 'tis no good. But forge...very good! I help anytime."
Giant Blacksmith,Talk x4,"Talk, 'tis no good. No-one home. Everyone gone."
Giant Blacksmith,Talk x5,"But you, friend. You talk, I no talk, but happy."
Giant Blacksmith,Leaving abruptly,"Mng, hmng?"
Giant Blacksmith,Returning after leaving abruptly,Hello again.
Giant Blacksmith,Showing the Crystal Ember,Mng. What's that? Shiny-shiny. Give me that. I make weapons shiny.
Giant Blacksmith,"Answering ""Yes""","I hath shiny-shiny, I make weapons shiny!"
Giant Blacksmith,"Answering ""No""","Hmph, tis a pity."
Giant Blacksmith,Attacking him,Oww. Oi! Stop that!
Giant Blacksmith,Killing him,"Angh, uggghh... Nighty-night..."
Griggs of Vinheim,While trapped in the house,"Somebody! Please, let me out of here! Somebody, anybody! Help me! Unlock the door! ...Damn... ...I'm finished... How did this ever happen..."
Griggs of Vinheim,Freeing him,"Brilliant! You opened the door for me! Thank you; I am saved. I thought I might never escape. I am Griggs of Vinheim. A sorcerer of the school. I am much obliged for your assistance. Thanks to you, I may now resume my travels."
Griggs of Vinheim,Talk after freeing him,"Oh, hello. I am fine. I will rest a while, then return to Firelink Shrine. I have my sorcery. And I will be more cautious next time. Besides, I have an important task at hand."
Griggs of Vinheim,Speaking with less than 10 intelligence,"Oh, hello. Terrific to see us both in one piece. And pray that you never go Hollow!"
Griggs of Vinheim,Back at Firelink,"Oh, hello. I regret meeting you under such compromising circumstances. At least we both made it back unscathed. Incidentally, would you care to learn any sorceries? You're clearly talented, and besides, I owe you. Of course we will require some materials, but I am happy to teach you some elementary spells. Are you interested?"
Griggs of Vinheim,"Answering ""Yes""","Splendid! Very well! I am pleased to have a chance to give something back. Well, then lets get started straight away."
Griggs of Vinheim,Talk x1,"It's not that I am concerned for Master Logan's welfare. Even in this treacherous land, Logan's skills are unmatched. He is a true hero. ...No, the reason I seek Logan is... ...Well, it's really my own conceit, now isn't it?"
Griggs of Vinheim,Farewell without any purchase,"Good-bye, then. Do stay safe."
Griggs of Vinheim,Farewell after making a purchase,All right. That'll do it. That should help you on your journey. May we meet again.
Griggs of Vinheim,Greetings after Reah and her companions leave,"Did you see them? The three young clerics... headed for the Catacombs, to seek Kindling. Kindling is the art of feeding bonfires. The poor young girl, sent down into a tomb. What a terrible mission she is burdened with."
Griggs of Vinheim,Greetings after Logan has left,"Oh, there you are! Just so you know... Master Logan has left on his own again. It seems that he is still determined to find the famed Regal Archives in Anor Londo. I intend to search for him. Only, before I leave, there is one thing I wish to do. You see, Master Logan has left most of his books. With them I could teach you Logan's sorcery. ...You have done much to assist me. Before I leave on this journey, I will teach you all that Logan has to share."
Griggs of Vinheim,After Logan has left,"Oh, hello, you made it! Then, let us begin. As promised, I shall bequeath Master Logan's sorcery to you."
Griggs of Vinheim,Attacking him,"Curses, you leave me no choice! You aren't yourself any more. Forgive me!"
Griggs of Vinheim,Killing him,Rrrg... How could this...
"Gwynevere, Princess of Sunlight",Entering her throne room,"Thou hast journey'd far, and overcome much, chosen Undead. Come hither, child..."
"Gwynevere, Princess of Sunlight",Kneeling to her,"O chosen Undead. I am Gwynevere. Daughter of Lord Gwyn; and Queen of Sunlight. Since the day Father his form did obscureth, I have await'd thee. I bequeath the Lordvessel to thee. And beseech thee. Succeed Lord Gwyn, and inheriteth the Fire of our world. Thou shall endeth this eternal twilight, and avert further Undead sacrifices."
"Gwynevere, Princess of Sunlight",Greetings,O chosen Undead. Thou hath journey'd far.
"Gwynevere, Princess of Sunlight",Talk ×1,"Since the day Father his form did obscureth, I have await'd thee. Once living, now Undead, and a fitting heir to father Gwyn thou art, and beseech thee succeed Lord Gwyn, and inheriteth the Fire of our world. A grave and arduous test of mettle, yea, it shall be. Indeed, we had felt the warmth of Fire, its radiance, and the life it sustaineth. Without Fire, all shall be a frigid and frightful Dark."
"Gwynevere, Princess of Sunlight",Talk ×2,"Please. Father's role thou should assume, and inheriteth the Fire of our world. Thou shall endeth this eternal twilight, and avert further Undead sacrifices. Kingseeker Frampt, the primordial serpent, shall guide thee."
"Gwynevere, Princess of Sunlight",Farewell,"Now thou shalt go forth, chosen Undead. May thou be one with the sunlight for evermore."
"Gwynevere, Princess of Sunlight",Joining her covenant,"Hereafter, I, Gwynevere, shall serveth as thine guardian. If thou so needest, I shalt devote all to thine safety. May thou be one with the sunlight for evermore."
"Gwynevere, Princess of Sunlight",After satiating the Lordvessel,"Magnificent... Thou hast filled the Lordvessel. Indeed, a worthy successor, thou shalt be. My patience was not for nil... I beg of thee. Succeed Lord Gwyn, and inheriteth the world's Fire. We have only thee."
"Gwynevere, Princess of Sunlight",Killing her,Aieegh...
Hawkeye Gough,Introduction,"Hm? A visitor, have we? Thou must be the one who freed Artorias. An old friend he was, and thanks to thee... He left this world with honour intact... And here I am, retired and blind. Of little help to thee, I am afraid."
Hawkeye Gough,Talk x1,"If thou seeketh to explore this domain, be wary of a black dragon. I fear thee no match for this terrible beast."
Hawkeye Gough,Talk x2,"Me? There is very little to be said. What is a dog, with no hares to hunt? ...I am lucky to be alive, I suppose."
Hawkeye Gough,Talk x3,"I suspect thou hast taken a gander at it, but the Dark of the Abyss, which swallowed poor Artorias, threatens to devour our entire land of Oolacile. It seems that this dire fate is unavoidable. But, seduced by a Dark serpent or no, they awoke that thing themselves, and drove it mad... One's demise is always one's own making."
Hawkeye Gough,Talk x4,"If thine wish is to succeed poor Artorias, and challenge the spread of the Dark, then thou must face Manus, Father of the Abyss. The Dark emanates from Manus himself. Even if this land shall expire, thou may be able to prevent further corrosion... But even so, one day the flames will fade, and only Dark will remain. And even a legend such as thineself can do nothing to stop that."
Hawkeye Gough,Talk x5,"Now, do not mistake my words. I cherish my work. Wood carving is a nuanced art. I would have much to talk about with that blacksmith. In truth, how is the old chap, I wonder? Still hammering away, I should hope."
Hawkeye Gough,Greetings x1,"Well, thou hast come again. This is a surprise."
Hawkeye Gough,Greetings x2,"Well, thou com'st again. Thou art a strange one."
Hawkeye Gough,Greetings after meeting Kalameet in the gorge,Good morrow... Is the Black Dragon causing thee duress?
Hawkeye Gough,Answering Yes,"Yes, I thought as much. He is called Kalameet. A ferocious dragon indeed, even mighty Anor Londo dared not provoke his ire. I see little good coming from this, but... Thy intent is to persevere... to the bitter end, hmm?"
Hawkeye Gough,Answering Yes,"Hah hah hah! Good, good. What is bravery, without a dash of recklessness! I have taken a liking to thee. And I owe thee much for thy service to Artorias. Now watch, and see how Gough hunts dragons. (Gough will now shoot Kalameet out of the sky)"
Hawkeye Gough,Answering No,A wise choice. Why foist thyself into the fiery maw?
Hawkeye Gough,Talk after answering No,...Art thou prepared to challenge great Kalameet?
Hawkeye Gough,Answering No,"Yes, surely that is best."
Hawkeye Gough,Answering No to original question,...Strange. I am rarely wrong on such matters...
Hawkeye Gough,Talk after answering No,"The Black Dragon troubles you yet, I see."
Hawkeye Gough,Answering No,"...Hmm, yes, I see. I was mistaken..."
Hawkeye Gough,Greetings after defeating Kalameet with your own Greatbow (never shot down),I see that thou has dusted the great black dragon Kalameet. Wondorously played. Lord Gwyn's blessing upon thee. I see that there is at least one legend among ye humans. Dear me... That old bat will never fly again.
Hawkeye Gough,Greetings after defeating Kalameet with Gough's help,Why...Thou has defeated Kalameet? Wondorously played. Lord Gwyn's blessing upon thee. That beast will never take to the skies again.
Hawkeye Gough,Farewell,"Farewell, human. Lead thy life as thou seest fit."
Hawkeye Gough,Attacking him,"Ahh, so this is true human nature. Artorias is in your debt, but thou leavest me little choice... May you perish, for the good of all!"
Hawkeye Gough,Killing Him,Humans...hmph...
Ingward,Introduction (with Lordvessel),"Well, this is a surprise. I get few visitors, save for ghosts. You have... the Lordvessel. Very impressive. I know exactly what your intentions are. You seek the Four Kings whom I guard over. This is the key to the seal. The Four Kings slumber in the deepest chamber of the ruins. Use this key to break the seal and open the floodgates. ...Oh and do not forget... The Darkwraiths reside in a dark void called the Abyss. But the Abyss is no place for ordinary mortals. Although long ago, the knight Artorias traversed the Abyss. If you can find him, and learn from him, the Abyss may prove surmountable."
Ingward,Introduction (without Lordvessel),"Well, this is a surprise. I get few visitors, except for ghosts. Do you have some business here? My name is Ingward. I'm an old man, bound to these parts. But I don't mind a chat. I may even be of some help."
Ingward,Greetings x1,Hello there. What is it? The key to the seal is now in your hands. I will help you in any way possible.
Ingward,Greetings after defeating the Four Kings,"...Magnificent. You defeated the Four Kings. Impressive, even for a bearer of the Lordvessel. And with this, my purpose is exhausted. I have not seen the sun for a long time. Perhaps I could do with a change..."
Ingward,Greetings x2,Hello again. How are you?
Ingward,Greetings x3,"Hello, there. Where have you been? I'm glad to see you well. How can I be of assistance."
Ingward,Talk x1,"New Londo was sacrificed to contain the Darkwraiths. Mark my words. The Darkwraiths are the enemies of man, and any living thing that has a soul. They were never meant to roam again."
Ingward,Talk x2,"I am the Guardian of the Seal. I watch over the Four Kings, the masters of the Darkwraiths. The Darkwraiths are the enemies of man, and any living thing that has a soul. They were born in New Londo, and that is where they perished; the entire city was sacrificed to contain them. ...For that is how great a threat they were..."
Ingward,Back at Firelink,"Oh, hello. The sunlight made me wince, and now I've come back to this dark hole! So what brings you here? I will help you in any way I can."
Ingward,Greetings at Firelink,"Oh, hello. What is it? I will help you in any way that I can."
Ingward,Attacking him,"Sigh... You are no different from the rest... So be it! I am Ingward, the guardian of the seal. Prepare to meet your doom!"
Ingward,Killing him,Ohh...ogghh...How could I allow this...Forgive me...my countrymen...
Kingseeker Frampt,Snoring,Hmgg... Hmgg...
Kingseeker Frampt,Introduction,"Ahh, hello. Was it you who rang the Bell of Awakening? I am the primordial serpent, Kingseeker Frampt, close friend of the Great Lord Gwyn. Chosen Undead, who has rung the Bell of Awakening. I wish to elucidate your fate. Do you seek such enlightenment?"
Kingseeker Frampt,Introduction with Lordvessel,"Ahh, hello. Was it you who rang the Bell of Awakening? I am the Primordial Serpent, Kingseeker Frampt, close friend of the Great Lord Gwyn. Chosen Undead, who has rung the Bell of Awakening. I wish to elucidate your fate, and the very reason your kind have appeared. Chosen Undead, your fate... is to succeed the Great Lord Gwyn. So that you may link the Fire, cast away the Dark, and undo the curse of the Undead. Now, let us take that vessel on a journey. I assume you are ready. Now, be still!"
Kingseeker Frampt,"Answering ""Yes""","Very well. Then I am pleased to share. Chosen Undead. Your fate... is to succeed the Great Lord Gwyn. So that you may link the Fire, cast away the Dark, and undo the curse of the Undead. To this end, you must visit Anor Londo, and acquire the Lordvessel."
Kingseeker Frampt,Greetings,I am pleased to see you well. Is it something urgent?
Kingseeker Frampt,Talk x1,"Those who seek the Realm of Lords must brave Sen's Fortress, a deadly house of traps. Many have gone before you, but none have returned. Fate has chosen you, but proceed with caution."
Kingseeker Frampt,Farewell,"Farewell. Chosen Undead. I remain here, and await thee."
Kingseeker Frampt,Waking Frampt up,"...Hm? No, no, I'm fine, I'm fine. Well and wide awake! Do not treat me like an old withering snake."
Kingseeker Frampt,Retrieving the Lordvessel,"Heavens! You have done it! You have retrieved the Lordvessel! After a thousand years! It is you, it is really you! Hraaaoogggh! ... Forgive me. I really should calm down. Now, let us take that vessel on a journey. I assume you are ready. Now, be still!"
Kingseeker Frampt,Bringing the player to Firelink Altar,"This is the Firelink Chamber, for the successor of Lord Gwyn. Now, place the Lordvessel on the altar."
Kingseeker Frampt,Speaking before placing Lordvessel,What is it? Place the Lordvessel on the altar. No reason for pause at this point.
Kingseeker Frampt,After placing Lordvessel,"Very well. As Kingseeker, I shall now instruct you, the Lord's successor, in your next task. To achieve your fate, fill the vessel with powerful souls, commensurate to the great soul of Gwyn. Scarce few possess such brilliant souls. Gravelord Nito, the Witch of Izalith, the Four Kings of New Londo, who inherited the shards of Gwyn's soul... and Lord Gwyn's former confidant, Seath the Scaleless. All of their souls are required to satiate the Lordvessel. ... Are you ready? Then we shall return. Stay still for a moment!"
Kingseeker Frampt,Satiating the Lordvessel,"Ahh...ohh! The Lordvessel is satiated... Magnificent... You are the righteous successor to Gwyn, the new Great Lord. And I am Kingseeker no more... Your acquaintance was an honour. I must admit, I am fond of you humans. May you enjoy your serendipity. And may the Age of Fire perpetuate."
Kingseeker Frampt,"Attacking him, jumping down without him, or giving Lordvessel to Kaathe","You sorry fool... You could not be the Chosen one. Enough... I shall slumber, until I am awakened again..."
Knight Lautrec of Carim,Greeting,"Oh? Still human, are you? Then I am in luck. Could you help me? As you can see I am stuck, without recourse."
Knight Lautrec of Carim,Talking before freeing,"Please, I have duties to fulfill, and I will reward you handsomely. Well? I am certain you stand to benefit."
Knight Lautrec of Carim,Freeing him,"Thank you, yes, sincerely. I am Knight Lautrec of Carim. I truly appreciate this, and I guarantee a reward, only later."
Knight Lautrec of Carim,Talk after freeing him,"Yes, very sorry, your reward will have to wait. I have just been freed. Allow me some time."
Knight Lautrec of Carim,Talk after freeing him x2,I am free. Now I can get back to work... Keh heh heh heh...
Knight Lautrec of Carim,Greeting at Firelink Shrine,"Ahh, hello there. I have your reward. Please accept it. I am grateful to you for freeing me... Keh heh heh heh... Not enough for you? Well, let's not be greedy now... Keh heh heh heh..."
Knight Lautrec of Carim,Greeting at Firelink Shrine (if he wasn't freed by the player),Hello... I don't think we've met. I am Knight Lautrec of Carim. We are both Undead. Perhaps we can help one another. Keh heh heh heh...
Knight Lautrec of Carim,Talk (if variation mentioned above is done),"Hmm, what business do you have? If you have none, then stay silent."
Knight Lautrec of Carim,Talk,"Hm, you again? What is it? Our futures are murky. Let's not be too friendly, now."
Knight Lautrec of Carim,Talk (after Petrus departs with Reah and the clerics),"Ahh, you certainly are keeping busy. Care to pay for a useful tip?"
Knight Lautrec of Carim,Answer 'Yes',"A wise choice, indeed. Maiden Thorolund and her followers recently arrived in this land, but she became stranded deep below the Catacombs. Her followers either fled, or were reduced to Hollows... Leaving Maiden Thorolund all alone. Not a bad tip, huh? A nubile cleric would be replete with Humanity..."
Knight Lautrec of Carim,Answer 'No',"Oh, really? Well, suit yourself. Only trying to help."
Knight Lautrec of Carim,Talk (after receiving the tip),"Hm? That tip I gave you? Ahh, I heard it from a fleeing old man. That poor bastard! All his robes and trinkets won't help him now! Kwah hah hah hah hah!"
Knight Lautrec of Carim,Talk (while being hollow),"By the lords... Your face... Hmmm... Your humanity is really slipping. But there are methods. Most fools have more Humanity than they know what to do with. Now, who do you imagine will make the best use of it, hmm?"
Knight Lautrec of Carim,Talk 2x,"Well, where have you been? I am glad to see you are safe."
Knight Lautrec of Carim,Talk 3x,"Have you heard of Trusty Patches? If ever a man has rubbed me up the wrong way, ugh! If he ever comes around again, I swear, I'll have his hide."
Knight Lautrec of Carim,Talk 4x,"Oh, hello. I'm considering a change of location... I have a rather, pressing matter to attend to up above. That Keeper has served me well, but... Enough with her... Keh heh heh heh..."
Knight Lautrec of Carim,Fighting him at Anor Londo,"Well, look at you. I thought you were wiser, but I thought wrong! Tis a terrible pity. Like a moth flittering towards a flame. You fellows? No? Don't you agree?"
Knight Lautrec of Carim,Fighting him at Anor Londo (if the player is killed at the first try),"So, here we go again! How many times will these lambs rush to slaughter? Well, let's get it over with."
Knight Lautrec of Carim,Attacking him (while he's still docile),"Well, what have we here?"
Knight Lautrec of Carim,Attacking him 2x (while he's still docile),Keh heh heh. Are you sure about this?
Knight Lautrec of Carim,Attacking him and making him hostile,"You leave me no choice. But if this is our fate, so be it!"
Knight Lautrec of Carim,Attacking him and making him hostile (if the player has helped him in Undead Parish),"You leave me no choice. I was once grateful to you, But if this is our fate, so be it! You despicable..."
Knight Lautrec of Carim,Killing him,...Curses... How could I...
Laurentius of the Great Swamp,Before Freeing him,"… You!… Yes, you!… Here, over here! … Please… … You must help me…"
Laurentius of the Great Swamp,"Returning to him, without freeing him","… Oh, there you are… … You must help me… … Or else… ... She'll have me for lunch! … You're my only hope… … Oh, please…"
Laurentius of the Great Swamp,After freeing him,"… Th-thank you. I would have been her supper without you. Being eaten alive! I shudder to think… Thank you, thank you dearly. I am Laurentius, of the Great Swamp. I will not forget my debt to you."
Laurentius of the Great Swamp,"Talking to him, after freeing him.","Oh, hello there. I'm fine, thanks to you."
Laurentius of the Great Swamp,First encounter in Firelink Shrine,"Well, I see you made it out! Yeah, I made it out safely, too. I have my Pyromancy of the Great Swamp, so I can usually manage, with a bit of care. Oh, yeah, by the way, er, I can share my spell with you. I think you have a knack for it. All you need are the materials. I'd be please to help you. … Ah, unless you find the magics unsavoury?"
Laurentius of the Great Swamp,Responding 'Yes' to his question,"Oh, really… Well, that's a shame. But it is your choice. I'm on the fringe; yeah, I know. Undead or not, that's who I am. I only wish that I could have repaid you somehow."
Laurentius of the Great Swamp,Responding 'No' to his question,"Yeah, wonderful! I'm sure they'll be of some use, some assistance. Why, let's get started right now."
Laurentius of the Great Swamp,Responding 'No' without having a pyromancy flame,"Yeah, wonderful! I'm sure they'll be of some use, some assistance. Here first take this, a flame from the Great Swamp, now you're a fully fledged pyromancer. Why, let's get started right now."
Laurentius of the Great Swamp,Second teaching opportunity,"Oh, hello, there. I am pleased to see you safe. Oh, and er…if by chance you've had a change of heart, I'll be pleased to assist you by sharing my spells."
Laurentius of the Great Swamp,Talk x1,"Pyromancy is the art of casting fire. Produce flame, then channel it; just as our ancestors did. A pyromancer must be in tune with nature herself. My home, the Great Swamp, is an abundant store of nature. You will understand, one day; it only takes time."
Laurentius of the Great Swamp,Talk x2,"Pyromancy has a, well, rather primitive aspect to it. It meshes poorly with advanced culture, and pyromancers are considered rather unsavoury. Which is fine, as I never got along with anybody anyway. So, for me, turning Undead didn't change a thing! Hah hah hah hah."
Laurentius of the Great Swamp,Talk x3 (if a pyromancer),A pyromancer's flame is a part of his own body. The flame develops right along with his skill. … Sorry. You're a pyromancer yourself. You already know this.
Laurentius of the Great Swamp,Talk x3 (any other class),"A pyromancer's flame is a part of his own body. The flame develops right along with his skill. … When I gave you that flame, I gave you a part of myself. Please take good care of it."
Laurentius of the Great Swamp,Talk x4,"My teacher, whom I imagine still resides in the Great Swamp, had a funny way of putting it. He said that ""Pyromancy is the ultimate fantasy…"" ""We are born into Dark, and warmed by Fire, but this Fire we cannot touch."" ""Those whose fascination with Fire persists, learn to hold it in their own hand."" He rather had a way with words, the old withering frog!"
Laurentius of the Great Swamp,Talk x5,"In this land, pyromancers earn a certain respect. The Witch of Izalith, one of the legendary Lords, is the godmother of pyromancy. So, the day I became Undead, I was ecstatic. I felt as if I'd been chosen to attune myself to the ancient arts. ...Of course, it wasn't all that romantic in the end…"
Laurentius of the Great Swamp,Greeting,"Oh, hello, there. I am pleased to see you safe. As always, if you provide the materials, I can teach you pyromancy."
Laurentius of the Great Swamp,Leaving abruptly,"Wait, friend! Where are you off to?"
Laurentius of the Great Swamp,"Returning, after leaving abruptly",That was rather abrupt. You are an odd one. Hah hah hah hah.
Laurentius of the Great Swamp,Leaving,"Good bye then. Be safe, friend. Don't you dare go Hollow."
Laurentius of the Great Swamp,"Leaving, after making a purchase",Good bye then. Come back if you find anything new.
Laurentius of the Great Swamp,"In possession of ""amazing pyromancy""[note 1]","Ah, hello, there. You've been a stranger these days. Why, what spectacular pyromancy. Tell me about it. I have never seen anything like it."
Laurentius of the Great Swamp,Responding 'Yes' to his question about your pyromancy,"Why, yes, of course! Thank you for sharing. I'm still an able pyromancer. I shall locate her myself. I am in your debt, once again."
Laurentius of the Great Swamp,Responding 'No' to his question about your pyromancy,"... I see. I suppose I was mistaken. In any case, I definitely trust you. Apologies, my friend. Forget that I said anything."
Laurentius of the Great Swamp,When attacked,"• Curse the heavens! Are you mad!I owe my life to you!This is wrong! You were my friend!• You detest my pyromancy! That must be it!Then, I'll give you a taste of it!And it will not be pleasant, I assure you!"
Laurentius of the Great Swamp,When killed:,Curses...
Lord's Blade Ciaran,Introduction,"...You, is that not... The soul of the man who fell on this spot, he was a dear friend. I wish to pay proper respect, with that Soul. Would you be willing to part with it?"
Lord's Blade Ciaran,"Answering ""Yes""","Thank you, you are very kind. Please take this, I no longer need it. May the Lord guide thee."
Lord's Blade Ciaran,"Answering ""No""","Yes, of course... I must not be presumptuous, Artorias would not have approved."
Lord's Blade Ciaran,"Talk after answering ""No""",What is it? Something else? Have you changed your mind?
Lord's Blade Ciaran,"Answering ""No"" again",...Then you have no business with me...
Lord's Blade Ciaran,Talk without possessing the Soul of Artorias,...Are you human? ...I forgive you. I'm here to pay respects to a dear friend. Please allow me a moment alone.
Lord's Blade Ciaran,Attacking her,"Hmph, you humans... Always taking what you please. Then, I shall do the same."
Lord's Blade Ciaran,She kills the player,"Hmph, such conceit... How did you imagine that the Lord's Blade would not reach you?"
Lord's Blade Ciaran,Killing her,"But, how... You humans... *My dear Artorias*"
Marvelous Chester,Introduction,"Hm...Oh, let me guess...Snatched by a shadowy limb, and dragged off to the past?"
Marvelous Chester,"Answering ""Yes""","Yes, of course. Exactly what happened to me. We are both strangers in this strange land. But, at least now there are two of us."
Marvelous Chester,"Answering ""No""","Oh, well, my mistake...But we are both travelers. We ought to help one another out."
Marvelous Chester,Talk,"Did you happen across Knight Artorias? The legendary Abysswalker, from the old tales...Well, if you haven't, it's just as well...He's a colourless sort, if you ask me. Mwah hah hah!"
Marvelous Chester,Talk x2,"So, what did that giant mushroom make you do? Not that I care. It's none of my business. Heh heh heh..."
Marvelous Chester,Talk x3,"Hm? I've little to talk about, really. Oh, you know me. What do I know? Heh heh!"
Marvelous Chester,Leave,So long.
Marvelous Chester,Greeting,"Oh, still alive, are you? Think of anything that you might need?"
Marvelous Chester,Greeting x2,"Oh, for Juniper's sake. Put some spring into your step! Mwah hah hah!"
Marvelous Chester,Talk after defeating Artorias,"Did you really slay Knight Artorias? I'd heard the Abyss found him first, but even still...That's absolutely treacherous. Yes, magnificently so! Mwah hah hah!"
Marvelous Chester,Talk x4,"Believe it or not, Oolacile has brought the Abyss upon itself. Fooled by that toothy serpent, they upturned the grave of primeval man, and incited his ornery wrath. What could they have been thinking? But to you and I, it's all ancient history. You have to ask yourself. Does it really matter? Heh heh heh..."
Marvelous Chester,Greeting after invading the player,"...Oh, you! You have quite some nerve. Or are you just thick? Fine, then. What is it that you need?"
Marvelous Chester,Talk x5,"...Well, you've quite the nerve! I've had enough of you!"
Marvelous Chester,Leave,I'll be seeing you. If you survive your travels...
Marvelous Chester,Greeting (if player is nude),"Oh, you again...What ever's the matter? No, I can tell. You need me more than ever. Mwah hah hah!"
Marvelous Chester,Talk while nude,"What? If you've something to say, then say it! Just don't say the wrong thing...Heh heh heh!"
Marvelous Chester,Leave while nude,So long...We'll be seeing each other...Gee hee hee!
Marvelous Chester,Attacking him,"Oh! It's come to blows, has it? Fine, then. I've had enough of you, anyway!"
Marvelous Chester,Attacking him after invading the player,"What now? You think this is all my fault? How very, very, petty of you! Very petty, indeed!"
Marvelous Chester,Fighting,"There! Ah-hah, there!"
Marvelous Chester,Player getting hit,What? Now you're feeling the heat? You should have thought long and hard...Nyah hah hah hah hah!
Marvelous Chester,Player death,You damn fool. I am Marvelous Chester! What did you expect?
Marvelous Chester,Killing,"Hrrg...You win...please...Oh, please...have mercy..."
"Oscar, Knight of Astora",Greeting,"...Oh, you... You're no Hollow, eh? Thank goodness... I'm done for, I'm afraid... I'll die soon, then lose my sanity... I wish to ask something of you... You and I, we're both Undead... Hear me out, will you?"
